,Facility ID,Facility Name,Facility Type,Material,Year,Service Area Address,Service Area Coordinates,Amount/tons,Direction,Destiny
0,[52D46],Blydenburgh Road Landfill Complex,Landfill,ADCM,2019,self,self,5310.11,Outgoing (self),BU (Daily Cover)
1,[52D46],Blydenburgh Road Landfill Complex,Landfill,DPW/Animal Shelter ADCM,2019,self,self,3983.89,Outgoing (self),BU (Daily Cover)
2,[52D46],Blydenburgh Road Landfill Complex,Landfill,GNF Cover ADCM,2019,self,self,2844.37,Outgoing (self),BU (Daily Cover)
4,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,12548.64,Outgoing (self),BU (Daily Cover)
5,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,3138,Outgoing (self),BU (Daily Cover)
6,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,42876.46,Outgoing (self),BU (Daily Cover)
7,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,7956.28,Outgoing (self),BU (Daily Cover)
8,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,223.9,Outgoing (self),BU (Daily Cover)
9,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,8120.83,Outgoing (self),BU (Daily Cover)
10,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,37681.88,Outgoing (self),BU (Daily Cover)
11,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,16213.58,Outgoing (self),BU (Daily Cover)
12,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,10170.34,Outgoing (self),BU (Daily Cover)
13,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,715.46,Outgoing (self),BU (Daily Cover)
14,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,44305.28,Outgoing (self),BU (Daily Cover)
15,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,308.26,Outgoing (self),BU (Daily Cover)
16,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,33060.26,Outgoing (self),BU (Daily Cover)
17,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,9788.33,Outgoing (self),BU (Daily Cover)
18,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,1447.02,Outgoing (self),BU (Daily Cover)
19,[52P10226],Brookhaven Waste Management Facility,Landfill,Processed C&D,2019,self,self,5614.76,Outgoing (self),BU (Daily Cover)
21,[01M26],Colonie (T) SWMF,Landfill,Aggregate/Concrete,2019,self,self,2126.87,Outgoing (self),BU (Road Base)
22,[01M26],Colonie (T) SWMF,Landfill,Aggregate/Concrete,2019,self,self,428.53,Outgoing (self),BU (Road Base)
23,[01M26],Colonie (T) SWMF,Landfill,Aggregate/Concrete,2019,self,self,954.11,Outgoing (self),BU (Road Base)
24,[01M26],Colonie (T) SWMF,Landfill,Aggregate/Concrete,2019,self,self,495.84,Outgoing (self),BU (Road Base)
25,[01M26],Colonie (T) SWMF,Landfill,Aggregate/Concrete,2019,self,self,0.07,Outgoing (self),BU (Road Base)
26,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,2805.72,Outgoing (self),BU (Alternative Operating Cover)
27,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,5488.7,Outgoing (self),BU (Alternative Operating Cover)
28,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,1140.42,Outgoing (self),BU (Alternative Operating Cover)
29,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,804.39,Outgoing (self),BU (Alternative Operating Cover)
30,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,6071.19,Outgoing (self),BU (Alternative Operating Cover)
31,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,40.53,Outgoing (self),BU (Alternative Operating Cover)
32,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,15.71,Outgoing (self),BU (Alternative Operating Cover)
33,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,2541.18,Outgoing (self),BU (Alternative Operating Cover)
34,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,61.32,Outgoing (self),BU (Alternative Operating Cover)
35,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,237.09,Outgoing (self),BU (Alternative Operating Cover)
36,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,59.5,Outgoing (self),BU (Alternative Operating Cover)
37,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,484.64,Outgoing (self),BU (Alternative Operating Cover)
38,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,475.42,Outgoing (self),BU (Alternative Operating Cover)
39,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,1185.19,Outgoing (self),BU (Alternative Operating Cover)
40,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,1022.47,Outgoing (self),BU (Alternative Operating Cover)
41,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,63.24,Outgoing (self),BU (Alternative Operating Cover)
42,[01M26],Colonie (T) SWMF,Landfill,Contaminated Soil,2019,self,self,1747.32,Outgoing (self),BU (Alternative Operating Cover)
43,[01M26],Colonie (T) SWMF,Landfill,Glass,2019,self,self,18694.46,Outgoing (self),BU (Road Base)
44,[01M26],Colonie (T) SWMF,Landfill,MSW Ash,2019,self,self,2346.19,Outgoing (self),BU (Alternative Operating Cover)
45,[01M26],Colonie (T) SWMF,Landfill,MSW Ash,2019,self,self,3429.86,Outgoing (self),BU (Alternative Operating Cover)
46,[01M26],Colonie (T) SWMF,Landfill,Paper Mill Sludge,2019,self,self,3180.94,Outgoing (self),BU (Alternative Operating Cover)
47,[01M26],Colonie (T) SWMF,Landfill,Shredder Fluff,2019,self,self,13136.69,Outgoing (self),BU (Alternative Operating Cover)
48,[01M26],Colonie (T) SWMF,Landfill,Shredder Fluff,2019,self,self,5577.77,Outgoing (self),BU (Alternative Operating Cover)
50,[01M26],Colonie (T) SWMF,Landfill,Single Stream,2019,"865 S Pearl St, Albany, NY 12202, USA","(42.623696, -73.76960199999999)",488.98,Outgoing,Recycled
51,[01M26],Colonie (T) SWMF,Landfill,Tires,2019,"1927 U.S. 9, Clifton Park, NY 12065, USA","(42.905304, -73.774093)",27.47,Outgoing,Recycled
52,[01M26],Colonie (T) SWMF,Landfill,Electronics,2019,"64 Hannay Ln, Glenmont, NY 12077, USA","(42.6236311, -73.7867729)",42.6,Outgoing,Recycled
53,[01M26],Colonie (T) SWMF,Landfill,Bulk Metal/Appliances,2019,"849 1st St, Watervliet, NY 12189, USA","(42.7114747, -73.7151693)",292.52,Outgoing,Recycled
54,[01V26],Colonie RMW Transfer Station,Landfill,Aggregate/Concrete,2020,self,self,2222.44,Outgoing (self),BU (Road Base)
55,[01V26],Colonie RMW Transfer Station,Landfill,Aggregate/Concrete,2020,self,self,365.73,Outgoing (self),BU (Road Base)
56,[01V26],Colonie RMW Transfer Station,Landfill,Aggregate/Concrete,2020,self,self,1147.66,Outgoing (self),BU (Road Base)
57,[01V26],Colonie RMW Transfer Station,Landfill,Aggregate/Concrete,2020,self,self,1140.89,Outgoing (self),BU (Road Base)
58,[01V26],Colonie RMW Transfer Station,Landfill,Aggregate/Concrete,2020,self,self,0.88,Outgoing (self),BU (Road Base)
59,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,1015.58,Outgoing (self),BU (AOC)
60,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,782,Outgoing (self),BU (AOC)
61,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,213.82,Outgoing (self),BU (AOC)
62,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,1010.96,Outgoing (self),BU (AOC)
63,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,2766.4,Outgoing (self),BU (AOC)
64,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,5049.85,Outgoing (self),BU (AOC)
65,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,1401.66,Outgoing (self),BU (AOC)
66,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,220.11,Outgoing (self),BU (AOC)
67,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,226.02,Outgoing (self),BU (AOC)
68,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,1901.08,Outgoing (self),BU (AOC)
69,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,44.97,Outgoing (self),BU (AOC)
70,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,34.22,Outgoing (self),BU (AOC)
71,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,8076.87,Outgoing (self),BU (AOC)
72,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,20.21,Outgoing (self),BU (AOC)
73,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,313.46,Outgoing (self),BU (AOC)
74,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,6845.37,Outgoing (self),BU (AOC)
75,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,34.87,Outgoing (self),BU (AOC)
76,[01V26],Colonie RMW Transfer Station,Landfill,Contaminated Soil,2020,self,self,376.19,Outgoing (self),BU (AOC)
77,[01V26],Colonie RMW Transfer Station,Landfill,Glass,2020,self,self,18225.01,Outgoing (self),BU (Road Base)
78,[01V26],Colonie RMW Transfer Station,Landfill,Industrial Waste (Alum AOC),2020,self,self,980.59,Outgoing (self),BU (AOC)
79,[01V26],Colonie RMW Transfer Station,Landfill,MSW Ash,2020,self,self,5020.24,Outgoing (self),BU (AOC)
80,[01V26],Colonie RMW Transfer Station,Landfill,MSW Ash,2020,self,self,8116.16,Outgoing (self),BU (AOC)
81,[01V26],Colonie RMW Transfer Station,Landfill,Shredder Fluff,2020,self,self,2314.07,Outgoing (self),BU (AOC)
82,[01V26],Colonie RMW Transfer Station,Landfill,Shredder Fluff,2020,self,self,3905.33,Outgoing (self),BU (AOC)
83,[01V26],Colonie RMW Transfer Station,Landfill,Bulk Metal/Appliances,2020,"849 1st St, Watervliet, NY 12189, USA","(42.7116279, -73.7151489)",283.07,Outgoing,Recycled
84,[01V26],Colonie RMW Transfer Station,Landfill,Single Stream,2020,"865 S Pearl St, Albany, NY 12202, USA","(42.623696, -73.76960199999999)",329.41,Outgoing,Recycled
85,[01V26],Colonie RMW Transfer Station,Landfill,Tires,2020,"1927 U.S. 9, Clifton Park, NY 12065, USA","(42.905304, -73.774093)",31.83,Outgoing,Recycled
86,[01V26],Colonie RMW Transfer Station,Landfill,Electronics,2020,"64 Hannay Ln, Glenmont, NY 12077, USA","(42.6236311, -73.7867729)",33.64,Outgoing,Recycled
87,[13S18],Delaware County SWMF,Landfill,C&D Blend,2019,self,self,5092.08,Outgoing (self),BU (Alternative Operating Cover)
88,[13S18],Delaware County SWMF,Landfill,Contaminated Soil,2019,self,self,333.08,Outgoing (self),BU (Alternative Operating Cover)
89,[13S18],Delaware County SWMF,Landfill,Glass,2019,self,self,480.23,Outgoing (self),BU (Alternative Operating Cover)
90,[13S18],Delaware County SWMF,Landfill,In house AOC blend,2019,self,self,5092.08,Outgoing (self),BU (Alternative Operating Cover)
91,[01S02],City of Albany,Landfill,Contaminated Soil,2019,self,self,15.24,Outgoing (self),BU (Daily Cover)
92,[01S02],City of Albany,Landfill,Contaminated Soil,2019,self,self,13.36,Outgoing (self),BU (Daily Cover)
93,[01S02],City of Albany,Landfill,Contaminated Soil,2019,self,self,5.98,Outgoing (self),BU (Daily Cover)
94,[01S02],City of Albany,Landfill,Contaminated Soil,2019,self,self,399.24,Outgoing (self),BU (Daily Cover)
95,[01S02],City of Albany,Landfill,Contaminated Soil,2019,self,self,639.84,Outgoing (self),BU (Daily Cover)
96,[01S02],City of Albany,Landfill,Contaminated Soil,2019,self,self,2000.44,Outgoing (self),BU (Daily Cover)
97,[01S02],City of Albany,Landfill,Contaminated Soil,2019,self,self,432.23,Outgoing (self),BU (Daily Cover)
98,[01S02],City of Albany,Landfill,Contaminated Soil,2019,self,self,248.92,Outgoing (self),BU (Daily Cover)
99,[01S02],City of Albany,Landfill,Contaminated Soil,2019,self,self,50.03,Outgoing (self),BU (Daily Cover)
100,[01S02],City of Albany,Landfill,Contaminated Soil,2019,self,self,2.79,Outgoing (self),BU (Daily Cover)
101,[01S02],City of Albany,Landfill,Contaminated Soil,2019,self,self,68.89,Outgoing (self),BU (Daily Cover)
102,[01S02],City of Albany,Landfill,Contaminated Soil,2019,self,self,6,Outgoing (self),BU (Daily Cover)
103,[01S02],City of Albany,Landfill,Contaminated Soil,2019,self,self,1228.82,Outgoing (self),BU (Daily Cover)
104,[01S02],City of Albany,Landfill,Contaminated Soil,2019,self,self,47.03,Outgoing (self),BU (Daily Cover)
105,[01S02],City of Albany,Landfill,Incinerated Sewer Sludge,2019,self,self,5764.05,Outgoing (self),BU (Daily Cover)
107,[10S20],Clinton County Landfill,Landfill,Glass,2020,self,self,1468.25,Outgoing (self),BU (AOC)
118,[18R10008],Fulton County Landfill,Landfill,Contaminated Soil,2020,self,self,4283.6,Outgoing (self),BU (Daily Cover)
119,[46S27],Green Ridge RDF,Landfill,Aggregate/Concrete,2020,self,self,611.64,Outgoing (self),BU (AOC)
120,[46S27],Green Ridge RDF,Landfill,Contaminated Soil,2020,self,self,67938.27,Outgoing (self),BU (AOC)
121,[46S27],Green Ridge RDF,Landfill,Foundry Sand,2020,self,self,302.94,Outgoing (self),BU (AOC)
122,[46S27],Green Ridge RDF,Landfill,Brown Stock,2020,self,self,820.78,Outgoing (self),BU (AOC)
123,[46S27],Green Ridge RDF,Landfill,Paper Mill Sludge,2020,self,self,3860.36,Outgoing (self),BU (AOC)
124,[46S27],Green Ridge RDF,Landfill,Waste Tire-Derived Aggregate,2020,self,self,223.1,Outgoing (self),BU (AOC)
125,[46S27],Green Ridge RDF,Landfill,Water Jet Garnet,2020,self,self,112.25,Outgoing (self),BU (AOC)
126,[33LS0008],Ava Landfill,Landfill,Contaminated Soil,2020,self,self,58086,Outgoing (self),BU (Daily Cover)
127,[33LS0008],Ava Landfill,Landfill,Glass,2020,self,self,5196,Outgoing (self),BU (Drainage)
128,[33LS0008],Ava Landfill,Landfill,Industrial Waste (Alum Sludge Powder),2020,self,self,7431,Outgoing (self),BU (Daily Cover)
129,[33LS0008],Ava Landfill,Landfill,Industrial Waste (Alum Sludge Powder),2020,self,self,3198,Outgoing (self),BU (Daily Cover)
130,[33LS0008],Ava Landfill,Landfill,Wood Ash,2020,self,self,5,Outgoing (self),BU (Daily Cover)
131,[33LS0008],Ava Landfill,Landfill,Pallet Wood Chips,2020,self,self,1478,Outgoing (self),BU (Road Base)
133,[06R10004],Auburn MRF,Landfill,Foundry Sand,2020,self,self,374.94,Outgoing (self),BU (AOC)
134,[06R10004],Auburn MRF,Landfill,Petroleum Contaminated Soil,2020,self,self,2361.65,Outgoing (self),BU (AOC)
135,[06R10004],Auburn MRF,Landfill,Commingled Containers,2020,"3555 Post Farm Rd, Stanley, NY 14561, USA","(42.8552148, -77.07918529999999)",568.96,Outgoing,Recycled
136,[06R10004],Auburn MRF,Landfill,Commingled Containers,2020,"4521 Steelway Blvd N, Liverpool, NY 13090, USA","(43.1332702, -76.19777669999999)",33.58,Outgoing,Recycled
137,[06R10004],Auburn MRF,Landfill,Commingled Paper,2020,"3555 Post Farm Rd, Stanley, NY 14561, USA","(42.8552148, -77.07918529999999)",458.68,Outgoing,Recycled
138,[06R10004],Auburn MRF,Landfill,Commingled Paper,2020,"4521 Steelway Blvd N, Liverpool, NY 13090, USA","(43.1332702, -76.19777669999999)",29.72,Outgoing,Recycled
140,[12LS0001],Cortland County Landfill Westside Extension,Landfill,Glass,2020,self,self,190,Outgoing (self),BU (AOC)
141,[12LS0001],Cortland County Landfill Westside Extension,Landfill,Processed C&D,2020,self,self,4810,Outgoing (self),BU (AOC)
142,[12LS0001],Cortland County Landfill Westside Extension,Landfill,Processed C&D mix with sludge,2020,self,self,2485,Outgoing (self),BU (Beneficial Use)
